"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"17","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","30,464","43","5","2025","황물로 150","202604~202806","신규","-","",""
"18","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","27,216","39","10","2025","황물로 150","202604~202806","신규","-","",""
"19","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,104","44","9","2025","황물로 150","202604~202806","신규","-","",""
"20","서울특별시 서대문구 홍제동","158-11","0158","0011","제니스","월세","27.2000","202604","28","1,000","90","3","2020","통일로35길 14-4","202605~202705","신규","-","",""
"21","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,424","44","15","2025","황물로 150","202604~202806","신규","-","",""
"22","서울특별시 동대문구 답십리동","497-9","0497","0009","젠트리움","월세","17.2600","202604","28","5,000","70","15","2020","천호대로 249","202605~202805","갱신","사용","5,000","65"
"23","서울특별시 동대문구 장안동","365-9","0365","0009","케이타워","월세","22.6800","202604","28","1,000","80","13","2020","장한로 98","202604~202804","신규","-","",""
"24","서울특별시 중랑구 상봉동","107-31","0107","0031","동일캐슬","월세","19.8600","202604","28","17,560","3","4","2020","면목로90길 9","202605~202805","갱신","사용","17,560","0"
"25","서울특별시 동대문구 전농동","602-23","0602","0023","스테이 하이 오피스텔","월세","33.4700","202604","28","2,000","175","14","2024","왕산로 258","202608~202708","신규","-","",""
"26","서울특별시 동대문구 전농동","100-1","0100","0001","다스하우스","월세","14.2800","202604","28","1,000","55","12","2018","왕산로 294","202605~202805","신규","-","",""
"27","서울특별시 은평구 응암동","121-52","0121","0052","거성리젠시","월세","46.7000","202604","28","17,000","19","3","2012","응암로29길 15-12","202607~202807","갱신","사용","17,000","15"
"28","서울특별시 강남구 청담동","130-9","0130","0009","현대 오피스텔","월세","23.3700","202604","28","200","100","9","1991","영동대로 738","202604~202606","신규","-","",""
"29","서울특별시 도봉구 창동","630-10","0630","0010","창동 북한산드림시티 2차","전세","28.0500","202604","28","23,000","0","12","2020","도봉로110라길 70-4","202606~202806","신규","-","",""
"30","서울특별시 동대문구 용두동","788","0788","0000","한방천하-용두동 포스빌","월세","39.0200","202604","28","1,000","75","17","2006","왕산로 122","202605~202705","신규","-","",""
"31","서울특별시 도봉구 창동","630-10","0630","0010","창동 북한산드림시티 2차","전세","28.0500","202604","28","23,000","0","6","2020","도봉로110라길 70-4","202605~202805","신규","-","",""
"32","서울특별시 중랑구 상봉동","108-5","0108","0005","(108-5)","월세","23.5500","202604","28","18,000","28","5","2020","면목로 465-3","202604~202804","갱신","-","16,000","28"
"33","서울특별시 마포구 성산동","232-1","0232","0001","엔트라움마포","전세","33.9300","202604","28","36,000","0","5","2023","동교로19길 102","202604~202804","갱신","사용","34,500","0"
"34","서울특별시 은평구 역촌동","39-36","0039","0036","해드림하우스","전세","62.4900","202604","28","33,000","0","3","2018","진흥로1길 13-13","202606~202806","신규","-","",""
"35","서울특별시 강남구 자곡동","596","0596","0000","강남 더샵라르고","월세","20.7100","202604","28","14,800","10","5","2014","자곡로 201","202606~202806","신규","-","",""
"36","서울특별시 중랑구 망우동","506-15","0506","0015","망우동 YMS 캐슬","전세","18.6000","202604","28","19,000","0","14","2020","상봉로26길 5","202604~202804","갱신","-","19,000","0"
"37","서울특별시 중랑구 망우동","506-15","0506","0015","망우동 YMS 캐슬","전세","20.6700","202604","28","18,900","0","14","2020","상봉로26길 5","202605~202805","갱신","-","18,900","0"
"38","서울특별시 강남구 역삼동","832-3","0832","0003","강남역 쉐르빌","월세","27.7400","202604","28","11,000","70","19","2014","강남대로 328","202605~202805","신규","-","",""
"39","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","84.9400","202604","28","45,150","0","23","2023","용마산로 670","202605~202805","갱신","사용","43,000","0"
"40","서울특별시 동대문구 장안동","295-1","0295","0001","두리빌딩","전세","25.4200","202604","28","12,900","0","5","2009","장한로27길 29","202605~202805","신규","-","",""
"41","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","40.2900","202604","28","20,992","30","5","2025","황물로 150","202604~202806","신규","-","",""
"42","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,424","44","14","2025","황물로 150","202604~202806","신규","-","",""
"43","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","27,496","40","12","2025","황물로 150","202604~202806","신규","-","",""
"44","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","30,784","43","8","2025","황물로 150","202604~202806","신규","-","",""
"45","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,104","44","10","2025","황물로 150","202604~202806","신규","-","",""
"46","서울특별시 동대문구 답십리동","530-14","0530","0014","답십리 530-14 오피스텔","월세","55.9300","202604","28","31,424","44","12","2025","황물로 150","202604~202806","신규","-","",""
"47","서울특별시 관악구 봉천동","861-6","0861","0006","Q타워","월세","19.0100","202604","28","500","72","10","2016","남부순환로 1817","202607~202807","갱신","-","500","70"
"48","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","월세","17.6200","202604","28","11,700","10","18","2020","디지털로10길 69","202607~202807","신규","-","",""
"49","서울특별시 영등포구 영등포동7가","104-5","0104","0005","여의도 웨스턴 힐 오피스텔","전세","17.3800","202604","28","21,000","0","2","2022","국회대로52길 3","202607~202807","신규","-","",""
"50","서울특별시 관악구 신림동","1423-13","1423","0013","DH TOWER","전세","19.9000","202604","28","18,000","0","4","2022","남부순환로181길 33","202605~202805","신규","-","",""
"51","서울특별시 강동구 천호동","169-12","0169","0012","성우스타팰리스","월세","42.2000","202604","28","20,000","50","6","2019","성안로25길 21","202606~202805","신규","-","",""
"52","서울특별시 영등포구 영등포동2가","94-126","0094","0126","(94-126)","월세","18.4800","202604","28","14,000","15","6","2016","국회대로56길 35","202606~202806","신규","-","",""
"53","서울특별시 강서구 마곡동","758-1","0758","0001","마곡럭스나인오피스텔 엘동","월세","21.8700","202604","28","1,100","67","8","2017","마곡서로 168","202606~202706","신규","-","",""
"54","서울특별시 영등포구 당산동1가","94-2","0094","0002","당산어반스테이","전세","29.4900","202604","28","31,500","0","8","2024","영신로39길 5-1","202607~202807","신규","-","",""
"55","서울특별시 구로구 구로동","651-2","0651","0002","퀸즈파크 구일","월세","17.3600","202604","28","1,000","65","10","2019","구일로 130","202605~202705","신규","-","",""
"56","서울특별시 영등포구 영등포동3가","4-1","0004","0001","여의도 포레스트 시티","월세","18.5600","202604","28","1,000","67","5","2021","영등포로 234","202606~202706","신규","-","",""
"57","서울특별시 강동구 길동","413-24","0413","0024","(413-24)","월세","18.7600","202604","28","11,250","26","12","2016","천호대로177길 48-11","202606~202806","신규","-","",""
"58","서울특별시 송파구 방이동","41-8","0041","0008","잠실 벨솔레 오피스텔","월세","29.3300","202604","28","13,000","65","14","2020","올림픽로34길 5-13","202606~202706","갱신","-","13,000","60"
"59","서울특별시 송파구 문정동","622","0622","0000","송파한화오벨리스크","월세","26.8200","202604","28","1,000","95","11","2013","충민로 5","202607~202707","갱신","사용","1,000","90"
"60","서울특별시 송파구 문정동","620","0620","0000","송파푸르지오시티","전세","30.0000","202604","28","20,700","0","15","2013","새말로 62","202605~202805","갱신","-","21,800","17"
"61","서울특별시 구로구 구로동","651-2","0651","0002","퀸즈파크 구일","월세","17.3600","202604","28","1,000","65","13","2019","구일로 130","202606~202706","신규","-","",""
"62","서울특별시 관악구 신림동","1423-13","1423","0013","DH TOWER","월세","21.6100","202604","28","5,000","60","4","2022","남부순환로181길 33","202604~202704","신규","-","",""
"63","서울특별시 강동구 명일동","47-2","0047","0002","고덕역 갑을명가시티 오피스텔","전세","26.0200","202604","28","19,800","0","15","2018","동남로75길 27","202605~202805","신규","-","",""
"64","서울특별시 영등포구 영등포동3가","4-1","0004","0001","여의도 포레스트 시티","월세","25.6500","202604","27","2,000","93","7","2021","영등포로 234","202607~202707","신규","-","",""
"65","서울특별시 영등포구 영등포동3가","1-9","0001","0009","소담더블린","전세","23.3100","202604","27","18,000","0","17","2018","영등포로 264","202606~202806","신규","-","",""
"66","서울특별시 영등포구 당산동","121-127","0121","0127","오피스텔저절로","월세","20.7300","202604","27","16,460","4","2","2013","버드나루로17길 12","202606~202806","신규","-","",""
"67","서울특별시 영등포구 도림동","229-2","0229","0002","도림동  디에이원파크","전세","58.0300","202604","27","45,150","0","4","2024","도신로15다길 32","202606~202806","신규","-","",""
"68","서울특별시 영등포구 도림동","229-2","0229","0002","도림동  디에이원파크","전세","29.4700","202604","27","31,500","0","4","2024","도신로15다길 32","202607~202806","갱신","-","30,000","0"
"69","서울특별시 구로구 오류동","46-2","0046","0002","아크로펠리스","월세","18.0000","202604","27","500","50","10","2004","경인로20나길 36","202604~202704","신규","-","",""
"70","서울특별시 강동구 길동","413-21","0413","0021","SM 엘루이 주상복합","월세","40.1900","202604","27","3,000","148","15","2023","천호대로177길 48-5","202606~202806","갱신","-","3,000","140"
"71","서울특별시 강동구 길동","457-4","0457","0004","거산 유팰리스","전세","16.5600","202604","27","16,500","0","8","2020","천호대로 1131","202606~202806","신규","-","",""
"72","서울특별시 송파구 송파동","58-14","0058","0014","(58-14)","전세","36.9900","202604","27","34,608","0","2","2020","백제고분로45길 38-9","202605~202805","갱신","-","32,960","0"
"73","서울특별시 영등포구 양평동2가","37-3","0037","0003","오목교투웨니퍼스트","전세","28.6300","202604","27","26,500","0","8","2017","선유서로25길 19","202605~202805","신규","-","",""
"74","서울특별시 영등포구 양평동6가","94","0094","0000","선유도역 더블파크 투웨니퍼스트","월세","28.4200","202604","27","27,000","20","3","2020","양평로30길 38","202605~202805","신규","-","",""
"75","서울특별시 강동구 강일동","677","0677","0000","강일 포디움","월세","22.2700","202604","27","500","60","6","2016","아리수로91길 24-9","202604~202704","신규","-","",""
"76","서울특별시 관악구 신림동","1638-1","1638","0001","삼모 더 프라임 타워","월세","30.8000","202604","27","1,000","80","21","2011","신원로 35","202604~202704","신규","-","",""
"77","서울특별시 송파구 문정동","620","0620","0000","송파푸르지오시티","전세","29.6300","202604","27","24,800","0","8","2013","새말로 62","202605~202805","갱신","-","24,800","0"
"78","서울특별시 송파구 문정동","620","0620","0000","송파푸르지오시티","월세","24.9000","202604","27","2,000","95","12","2013","새말로 62","202606~202706","갱신","-","2,000","93"
"79","서울특별시 송파구 문정동","624","0624","0000","송파 아이파크","월세","25.8700","202604","27","20,250","15","5","2015","법원로 55","202605~202805","갱신","-","20,250","15"
"80","서울특별시 송파구 문정동","652-4","0652","0004","힐스테이트에코문정","월세","20.7900","202604","27","2,000","50","11","2018","법원로4길 10","202604~202804","신규","-","",""
"81","서울특별시 송파구 석촌동","175-7","0175","0007","(175-7)","월세","38.7200","202604","27","4,000","59","6","2004","백제고분로39길 10-10","202606~202806","신규","-","",""
"82","서울특별시 금천구 가산동","153-7","0153","0007","대명 U타운","월세","17.7100","202604","27","1,000","45","4","2017","가산로 89","202604~202704","신규","-","",""
"83","서울특별시 금천구 가산동","234-2","0234","0002","금강노블레스","전세","30.6900","202604","27","25,000","0","13","2020","두산로11길 63","202606~202806","갱신","-","25,000","0"
"84","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","월세","17.6900","202604","27","11,700","10","16","2020","디지털로10길 69","202606~202806","갱신","-","13,600","0"
"85","서울특별시 금천구 가산동","233-5","0233","0005","가산센트럴 푸르지오시티","월세","17.6200","202604","27","500","60","20","2020","디지털로10길 69","202604~202704","갱신","-","500","58"
"86","서울특별시 금천구 독산동","144-2","0144","0002","(144-2)","월세","43.1500","202604","27","1,000","125","2","2022","시흥대로141길 83","202604~202704","신규","-","",""
"87","서울특별시 금천구 독산동","292-21","0292","0021","독산헤리츠타워","월세","46.5400","202604","27","17,119","14","3","2022","범안로21길 28","202605~202804","갱신","-","16,474","14"
"88","서울특별시 금천구 독산동","330-7","0330","0007","동우오피스텔","월세","29.9800","202604","27","105","39","12","2023","범안로17길 55","202607~202806","갱신","-","100","38"
"89","서울특별시 금천구 독산동","336-8","0336","0008","미림에이클래스","전세","28.9700","202604","27","25,000","0","13","2021","두산로3길 17","202606~202806","신규","-","",""
"90","서울특별시 강서구 마곡동","760-1","0760","0001","힐스테이트에코 마곡나루역 라마다앙코르 서울마곡","월세","21.5000","202604","27","15,660","15","7","2017","마곡중앙로 161-11","202606~202806","신규","-","",""
"91","서울특별시 강서구 마곡동","758-2","0758","0002","마곡일성트루엘플래닛","월세","21.4300","202604","27","8,000","35","8","2016","마곡중앙로 161-22","202604~202704","신규","-","",""
"92","서울특별시 강서구 마곡동","758-2","0758","0002","마곡일성트루엘플래닛","월세","21.4300","202604","27","500","75","7","2016","마곡중앙로 161-22","202605~202705","신규","-","",""
"93","서울특별시 강동구 천호동","449-49","0449","0049","힐탑프라자","월세","20.4800","202604","27","500","55","15","1994","천호대로 1073","202604~202704","신규","-","",""
"94","서울특별시 강서구 마곡동","776-2","0776","0002","마곡센트럴대방디엠시티오피스텔","전세","64.5800","202604","27","43,000","0","14","2017","양천로 344","202605~202805","신규","-","",""
"95","서울특별시 강동구 천호동","449-49","0449","0049","힐탑프라자","전세","20.4800","202604","27","8,000","0","13","1994","천호대로 1073","202604~202704","신규","-","",""
"96","서울특별시 강서구 마곡동","784-4","0784","0004","미르웰플러스오피스텔","월세","19.4600","202604","27","12,600","15","10","2015","강서로 447","202607~202807","신규","-","",""
"97","서울특별시 강서구 마곡동","776-4","0776","0004","엠코지니어스타","월세","25.9500","202604","27","3,000","72","4","2015","강서로 471","202605~202705","신규","-","",""
"98","서울특별시 관악구 신림동","1431-32","1431","0032","벨라힐","월세","8.8200","202604","27","9,000","25","5","2018","신림동길 3-12","202605~202805","신규","-","",""
"99","서울특별시 금천구 가산동","775","0775","0000","한국후지필름 복합주거시설","월세","22.0500","202604","27","1,000","63","5","2017","가산디지털1로 222","202605~202705","갱신","-","1,000","62"
"100","서울특별시 송파구 방이동","41-8","0041","0008","잠실 벨솔레 오피스텔","전세","29.6900","202604","27","25,200","0","4","2020","올림픽로34길 5-13","202605~202805","갱신","-","24,000","0"
"101","서울특별시 영등포구 영등포동2가","94-319","0094","0319","와이에이치빌리지","전세","17.5100","202604","27","20,500","0","4","2020","버드나루로3길 1","202606~202806","신규","-","",""
"102","서울특별시 강서구 마곡동","760-1","0760","0001","힐스테이트에코 마곡나루역 라마다앙코르 서울마곡","월세","20.8400","202604","27","2,000","75","7","2017","마곡중앙로 161-11","202605~202705","갱신","-","2,000","70"
"103","서울특별시 금천구 가산동","775","0775","0000","한국후지필름 복합주거시설","월세","22.0500","202604","27","1,000","63","3","2017","가산디지털1로 222","202605~202705","갱신","-","1,000","62"
"104","서울특별시 금천구 가산동","775","0775","0000","한국후지필름 복합주거시설","월세","22.0500","202604","27","1,000","63","5","2017","가산디지털1로 222","202605~202705","갱신","-","1,000","62"
"105","서울특별시 금천구 가산동","143-7","0143","0007","주건축물제1동","월세","24.6000","202604","27","20,000","30","8","2023","가산로 137","202606~202806","신규","-","",""
"106","서울특별시 영등포구 신길동","101-13","0101","0013","디에이원파크","전세","30.2700","202604","27","31,500","0","5","2020","도신로 255","202605~202805","신규","-","",""
"107","서울특별시 영등포구 신길동","236-7","0236","0007","클래시안 아이비","월세","41.0500","202604","27","5,000","140","8","2023","신길로34길 5","202605~202805","갱신","-","5,000","140"
"108","서울특별시 서초구 서초동","1338-20","1338","0020","서초현대렉시온","전세","34.0000","202604","27","27,000","0","9","2005","강남대로 305","202605~202805","신규","-","",""
"109","서울특별시 영등포구 당산동1가","260","0260","0000","더채움오피스텔","월세","27.9400","202604","27","27,000","9","10","2020","양산로 142","202607~202807","신규","-","",""
"110","서울특별시 송파구 방이동","49","0049","0000","오르본 인투파크 오피스텔","월세","29.0000","202604","27","18,000","65","8","2018","오금로11길 55-22","202607~202807","신규","-","",""
"111","서울특별시 관악구 봉천동","1599-3","1599","0003","수아주 서울대","월세","17.9800","202604","27","2,000","74","4","2020","남부순환로226길 28","202606~202706","갱신","-","2,000","72"
"112","서울특별시 송파구 방이동","41-8","0041","0008","잠실 벨솔레 오피스텔","월세","29.6900","202604","27","28,800","8","16","2020","올림픽로34길 5-13","202605~202805","갱신","사용","29,500","0"
"113","서울특별시 강서구 마곡동","795-5","0795","0005","마곡사이언스파크뷰","월세","22.0700","202604","27","12,790","18","6","2016","마곡중앙6로 85","202605~202705","갱신","사용","13,590","15"
"114","서울특별시 동대문구 장안동","381-1","0381","0001","우민에뜨와르오피스텔","월세","36.6200","202604","27","6,000","50","4","2009","한천로24길 70","202605~202805","신규","-","",""
"115","서울특별시 강서구 화곡동","924-24","0924","0024","리치아파트 102동","월세","29.8800","202604","27","20,645","2","4","2020","월정로20길 58","202605~202805","갱신","-","20,100","0"
"116","서울특별시 강서구 화곡동","1111","1111","0000","SJ라벨라","전세","18.0200","202604","27","16,200","0","12","2020","화곡로 350","202606~202806","신규","-","",""
"117","서울특별시 강서구 화곡동","1111-4","1111","0004","포유","전세","30.3800","202604","27","21,000","0","4","2018","화곡로 342","202606~202806","갱신","사용","21,000","0"
"118","서울특별시 강서구 등촌동","641-12","0641","0012","루미에르","전세","20.8000","202604","27","23,500","0","4","2024","양천로60길 60","202605~202805","신규","-","",""
"119","서울특별시 강남구 역삼동","825-24","0825","0024","강남역 효성해링턴 타워 더퍼스트","월세","24.7700","202604","27","23,850","20","15","2014","강남대로84길 15","202605~202805","신규","-","",""
"120","서울특별시 마포구 상암동","1734","1734","0000","상암 한화 오벨리스크","월세","19.9300","202604","27","1,000","65","10","2013","구룡길 19","202605~202705","신규","-","",""
"121","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","전세","21.2000","202604","27","24,500","0","18","2023","왕산로 239","202607~202807","신규","-","",""
"122","서울특별시 강서구 등촌동","641-12","0641","0012","루미에르","전세","19.9900","202604","27","24,400","0","4","2024","양천로60길 60","202606~202806","갱신","-","24,100","0"
"123","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","월세","21.2000","202604","27","1,000","100","9","2023","왕산로 239","202604~202704","신규","-","",""
"124","서울특별시 강서구 등촌동","637-27","0637","0027","유원더블레스","전세","21.4900","202604","27","22,000","0","4","2020","화곡로66길 87","202605~202805","신규","-","",""
"125","서울특별시 강남구 논현동","241-1","0241","0001","강남파라곤","전세","58.2800","202604","27","65,000","0","4","2007","학동로 338","202605~202805","신규","-","",""
"126","서울특별시 마포구 성산동","591-1","0591","0001","이안상암","전세","60.6200","202604","27","42,000","0","4","2005","월드컵로 204","202606~202806","신규","-","",""
"127","서울특별시 광진구 구의동","218-15","0218","0015","와이엔 오피스텔","월세","25.1600","202604","27","11,000","10","5","2003","아차산로 444","202605~202805","신규","-","",""
"128","서울특별시 성동구 용답동","228-8","0228","0008","더 마크","전세","32.6700","202604","27","25,700","0","8","2020","자동차시장1길 25","202605~202805","갱신","-","25,700","0"
"129","서울특별시 마포구 성산동","592-5","0592","0005","상암 우남퍼스트빌스타","전세","16.8600","202604","27","13,900","0","13","2017","모래내로 5","202605~202805","신규","-","",""
"130","서울특별시 도봉구 창동","7","0007","0000","월가타워","월세","21.5100","202604","27","5,000","33","5","2013","마들로11가길 6-25","202606~202805","신규","-","",""
"131","서울특별시 광진구 구의동","253-19","0253","0019","센트럴빌","월세","32.1900","202604","27","13,400","13","4","2003","광나루로 486","202605~202805","갱신","사용","13,400","0"
"132","서울특별시 용산구 원효로1가","28-7","0028","0007","시온캐슬용산","월세","27.3800","202604","27","15,000","45","4","2021","원효로81길 3","202606~202806","신규","-","",""
"133","서울특별시 중구 신당동","372-49","0372","0049","(372-49)","전세","20.3400","202604","27","22,000","0","10","2021","동호로7길 17","202606~202806","신규","-","",""
"134","서울특별시 광진구 화양동","93-1","0093","0001","DM7 건대","월세","36.2700","202604","27","2,500","200","10","2024","광나루로20길 40","202604~202804","신규","-","",""
"135","서울특별시 은평구 불광동","221-1","0221","0001","유니파크","전세","55.5000","202604","27","24,000","0","7","2016","불광로 137","202606~202806","신규","-","",""
"136","서울특별시 은평구 불광동","281-16","0281","0016","해피하우스","전세","27.2100","202604","27","17,000","0","5","2017","불광로 52-6","202606~202806","신규","-","",""
"137","서울특별시 마포구 아현동","737","0737","0000","마포 에스케이 허브 블루","월세","33.0000","202604","27","10,000","63","18","2006","마포대로 204","202605~202805","신규","-","",""
"138","서울특별시 동대문구 신설동","100-26","0100","0026","포레스트힐시티","월세","19.2000","202604","27","15,000","7","13","2018","청계천로 443","202605~202805","갱신","-","16,000","0"
"139","서울특별시 종로구 충신동","83","0083","0000","지오지안 대학로","전세","20.4600","202604","27","26,000","0","2","2023","율곡로14길 15-3","202605~202805","신규","-","",""
"140","서울특별시 마포구 성산동","590-4","0590","0004","KCC상암스튜디오380","월세","20.3500","202604","27","1,000","82","15","2014","모래내로1길 20","202605~202705","신규","-","",""
"141","서울특별시 은평구 진관동","66","0066","0000","은평뉴타운 꿈에그린","월세","19.8400","202604","27","1,000","63","19","2018","진관3로 33","202605~202705","갱신","-","1,000","60"
"142","서울특별시 도봉구 도봉동","63","0063","0000","힐스테이트 도봉역 웰가","전세","84.8400","202604","27","40,000","0","2","2023","도봉로180나길 19","202606~202806","갱신","-","39,000","0"
"143","서울특별시 동대문구 답십리동","494-1","0494","0001","한일노벨리아","월세","19.0500","202604","27","1,000","65","8","2016","천호대로 289","202605~202705","신규","-","",""
"144","서울특별시 동대문구 신설동","91-262","0091","0262","브릿지하임","전세","14.9100","202604","27","21,000","0","9","2022","왕산로 29","202606~202806","신규","-","",""
"145","서울특별시 강서구 염창동","261","0261","0000","염창역한강투웨니퍼스트","월세","29.9800","202604","27","26,550","6","2","2022","공항대로81길 36","202606~202806","신규","-","",""
"146","서울특별시 강서구 염창동","266-12","0266","0012","한빛어반뉴스토리","월세","28.6900","202604","27","21,300","25","15","2018","공항대로59다길 131","202607~202806","신규","-","",""
"147","서울특별시 성북구 하월곡동","90-279","0090","0279","종암사거리 동우리즈힐스","전세","15.9100","202604","27","14,490","0","3","2022","화랑로1길 17","202604~202702","갱신","사용","15,000","0"
"148","서울특별시 동대문구 용두동","104-3","0104","0003","동대문 푸르지오시티","월세","23.4700","202604","27","1,000","84","8","","왕산로 86","202607~202807","갱신","사용","1,000","80"
"149","서울특별시 양천구 목동","791-17","0791","0017","동양오피스텔","전세","18.0200","202604","27","8,900","0","2","2016","목동중앙서로3길 9","202605~202805","신규","-","",""
"150","서울특별시 양천구 목동","916","0916","0000","현대하이페리온","월세","114.6400","202604","27","100,000","187","17","2003","목동동로 257","202606~202806","갱신","사용","100,000","160"
"151","서울특별시 중랑구 면목동","1546","1546","0000","행복오피스텔","월세","50.0400","202604","27","20,000","29","3","2020","겸재로 240","202606~202806","갱신","-","20,000","24"
"152","서울특별시 동대문구 장안동","384-8","0384","0008","이도SPACE","전세","28.2700","202604","27","24,000","0","6","2023","장한로23길 11-6","202605~202805","신규","-","",""
"153","서울특별시 강남구 청담동","5","0005","0000","경원오피스텔","월세","22.7700","202604","27","1,000","60","14","1991","도산대로 446","202604~202704","신규","-","",""
"154","서울특별시 마포구 성산동","51-2","0051","0002","골든빌오피스텔","월세","23.8600","202604","27","9,000","20","6","2004","월드컵북로12안길 89","202606~202806","신규","-","",""
"155","서울특별시 중구 황학동","1229","1229","0000","힐스테이트 청계 센트럴","전세","34.9300","202604","27","31,500","0","6","2024","마장로 95","202606~202806","갱신","사용","30,000","0"
"156","서울특별시 강남구 청담동","5","0005","0000","경원오피스텔","전세","22.7700","202604","27","14,000","0","18","1991","도산대로 446","202605~202705","갱신","-","15,000","0"
"157","서울특별시 마포구 성산동","591-6","0591","0006","상암 퍼스티지 더올림 오피스텔","월세","17.1400","202604","27","15,100","6","8","2018","모래내로1길 17","202606~202806","신규","-","",""
"158","서울특별시 강서구 등촌동","656-52","0656","0052","강서메트로칸","월세","18.7500","202604","27","2,000","48","9","2013","공항대로45가길 11","202605~202705","갱신","-","2,000","45"
"159","서울특별시 강서구 등촌동","633-24","0633","0024","등촌동 Y HAUS 오피스텔","전세","28.6100","202604","27","26,500","0","7","2020","공항대로59다길 39","202606~202806","신규","-","",""
