시군구,번지,단지명,전월세구분,전용면적(㎡),보증금(만원),월세금(만원),도로명,주택유형
서울특별시 강동구 강일동,677,강일 포디움,월세,22.27,500,60,아리수로91길 24-9,오피스텔
서울특별시 관악구 신림동,1638-1,삼모 더 프라임 타워,월세,30.8,"1,000",80,신원로 35,오피스텔
서울특별시 송파구 문정동,620,송파푸르지오시티,전세,29.63,"24,800",0,새말로 62,오피스텔
서울특별시 송파구 문정동,620,송파푸르지오시티,월세,24.9,"2,000",95,새말로 62,오피스텔
서울특별시 송파구 문정동,624,송파 아이파크,월세,25.87,"20,250",15,법원로 55,오피스텔
서울특별시 송파구 문정동,652-4,힐스테이트에코문정,월세,20.79,"2,000",50,법원로4길 10,오피스텔
서울특별시 송파구 석촌동,175-7,(175-7),월세,38.72,"4,000",59,백제고분로39길 10-10,오피스텔
서울특별시 금천구 가산동,153-7,대명 U타운,월세,17.71,"1,000",45,가산로 89,오피스텔
서울특별시 금천구 가산동,234-2,금강노블레스,전세,30.69,"25,000",0,두산로11길 63,오피스텔
서울특별시 금천구 가산동,233-5,가산센트럴 푸르지오시티,월세,17.69,"11,700",10,디지털로10길 69,오피스텔
서울특별시 금천구 가산동,233-5,가산센트럴 푸르지오시티,월세,17.62,500,60,디지털로10길 69,오피스텔
서울특별시 금천구 독산동,144-2,(144-2),월세,43.15,"1,000",125,시흥대로141길 83,오피스텔
서울특별시 금천구 독산동,292-21,독산헤리츠타워,월세,46.54,"17,119",14,범안로21길 28,오피스텔
서울특별시 금천구 독산동,330-7,동우오피스텔,월세,29.98,105,39,범안로17길 55,오피스텔
서울특별시 금천구 독산동,336-8,미림에이클래스,전세,28.97,"25,000",0,두산로3길 17,오피스텔
서울특별시 강서구 마곡동,760-1,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,월세,21.5,"15,660",15,마곡중앙로 161-11,오피스텔
서울특별시 강서구 마곡동,758-2,마곡일성트루엘플래닛,월세,21.43,"8,000",35,마곡중앙로 161-22,오피스텔
서울특별시 강서구 마곡동,758-2,마곡일성트루엘플래닛,월세,21.43,500,75,마곡중앙로 161-22,오피스텔
서울특별시 강동구 천호동,449-49,힐탑프라자,월세,20.48,500,55,천호대로 1073,오피스텔
서울특별시 강서구 마곡동,776-2,마곡센트럴대방디엠시티오피스텔,전세,64.58,"43,000",0,양천로 344,오피스텔
서울특별시 강동구 천호동,449-49,힐탑프라자,전세,20.48,"8,000",0,천호대로 1073,오피스텔
서울특별시 강서구 마곡동,784-4,미르웰플러스오피스텔,월세,19.46,"12,600",15,강서로 447,오피스텔
서울특별시 강서구 마곡동,776-4,엠코지니어스타,월세,25.95,"3,000",72,강서로 471,오피스텔
서울특별시 관악구 신림동,1431-32,벨라힐,월세,8.82,"9,000",25,신림동길 3-12,오피스텔
서울특별시 금천구 가산동,775,한국후지필름 복합주거시설,월세,22.05,"1,000",63,가산디지털1로 222,오피스텔
서울특별시 송파구 방이동,41-8,잠실 벨솔레 오피스텔,전세,29.69,"25,200",0,올림픽로34길 5-13,오피스텔
서울특별시 영등포구 영등포동2가,94-319,와이에이치빌리지,전세,17.51,"20,500",0,버드나루로3길 1,오피스텔
서울특별시 강서구 마곡동,760-1,힐스테이트에코 마곡나루역 라마다앙코르 서울마곡,월세,20.84,"2,000",75,마곡중앙로 161-11,오피스텔
서울특별시 금천구 가산동,775,한국후지필름 복합주거시설,월세,22.05,"1,000",63,가산디지털1로 222,오피스텔
서울특별시 금천구 가산동,775,한국후지필름 복합주거시설,월세,22.05,"1,000",63,가산디지털1로 222,오피스텔
서울특별시 금천구 가산동,143-7,주건축물제1동,월세,24.6,"20,000",30,가산로 137,오피스텔
서울특별시 영등포구 신길동,101-13,디에이원파크,전세,30.27,"31,500",0,도신로 255,오피스텔
서울특별시 영등포구 신길동,236-7,클래시안 아이비,월세,41.05,"5,000",140,신길로34길 5,오피스텔
서울특별시 서초구 서초동,1338-20,서초현대렉시온,전세,34.0,"27,000",0,강남대로 305,오피스텔
서울특별시 영등포구 당산동1가,260,더채움오피스텔,월세,27.94,"27,000",9,양산로 142,오피스텔
서울특별시 송파구 방이동,49,오르본 인투파크 오피스텔,월세,29.0,"18,000",65,오금로11길 55-22,오피스텔
서울특별시 관악구 봉천동,1599-3,수아주 서울대,월세,17.98,"2,000",74,남부순환로226길 28,오피스텔
서울특별시 송파구 방이동,41-8,잠실 벨솔레 오피스텔,월세,29.69,"28,800",8,올림픽로34길 5-13,오피스텔
서울특별시 강서구 마곡동,795-5,마곡사이언스파크뷰,월세,22.07,"12,790",18,마곡중앙6로 85,오피스텔
서울특별시 동대문구 장안동,381-1,우민에뜨와르오피스텔,월세,36.62,"6,000",50,한천로24길 70,오피스텔
서울특별시 강서구 화곡동,924-24,리치아파트 102동,월세,29.88,"20,645",2,월정로20길 58,오피스텔
서울특별시 강서구 화곡동,1111,SJ라벨라,전세,18.02,"16,200",0,화곡로 350,오피스텔
서울특별시 강서구 화곡동,1111-4,포유,전세,30.38,"21,000",0,화곡로 342,오피스텔
서울특별시 강서구 등촌동,641-12,루미에르,전세,20.8,"23,500",0,양천로60길 60,오피스텔
서울특별시 강남구 역삼동,825-24,강남역 효성해링턴 타워 더퍼스트,월세,24.77,"23,850",20,강남대로84길 15,오피스텔
서울특별시 마포구 상암동,1734,상암 한화 오벨리스크,월세,19.93,"1,000",65,구룡길 19,오피스텔
서울특별시 동대문구 청량리동,235-6,힐스테이트 청량리역,전세,21.2,"24,500",0,왕산로 239,오피스텔
서울특별시 강서구 등촌동,641-12,루미에르,전세,19.99,"24,400",0,양천로60길 60,오피스텔
서울특별시 동대문구 청량리동,235-6,힐스테이트 청량리역,월세,21.2,"1,000",100,왕산로 239,오피스텔
서울특별시 강서구 등촌동,637-27,유원더블레스,전세,21.49,"22,000",0,화곡로66길 87,오피스텔
서울특별시 강남구 논현동,241-1,강남파라곤,전세,58.28,"65,000",0,학동로 338,오피스텔
서울특별시 마포구 성산동,591-1,이안상암,전세,60.62,"42,000",0,월드컵로 204,오피스텔
서울특별시 광진구 구의동,218-15,와이엔 오피스텔,월세,25.16,"11,000",10,아차산로 444,오피스텔
서울특별시 성동구 용답동,228-8,더 마크,전세,32.67,"25,700",0,자동차시장1길 25,오피스텔
서울특별시 마포구 성산동,592-5,상암 우남퍼스트빌스타,전세,16.86,"13,900",0,모래내로 5,오피스텔
서울특별시 도봉구 창동,7,월가타워,월세,21.51,"5,000",33,마들로11가길 6-25,오피스텔
서울특별시 광진구 구의동,253-19,센트럴빌,월세,32.19,"13,400",13,광나루로 486,오피스텔
서울특별시 용산구 원효로1가,28-7,시온캐슬용산,월세,27.38,"15,000",45,원효로81길 3,오피스텔
서울특별시 중구 신당동,372-49,(372-49),전세,20.34,"22,000",0,동호로7길 17,오피스텔
서울특별시 광진구 화양동,93-1,DM7 건대,월세,36.27,"2,500",200,광나루로20길 40,오피스텔
서울특별시 은평구 불광동,221-1,유니파크,전세,55.5,"24,000",0,불광로 137,오피스텔
서울특별시 은평구 불광동,281-16,해피하우스,전세,27.21,"17,000",0,불광로 52-6,오피스텔
서울특별시 마포구 아현동,737,마포 에스케이 허브 블루,월세,33.0,"10,000",63,마포대로 204,오피스텔
서울특별시 동대문구 신설동,100-26,포레스트힐시티,월세,19.2,"15,000",7,청계천로 443,오피스텔
서울특별시 종로구 충신동,83,지오지안 대학로,전세,20.46,"26,000",0,율곡로14길 15-3,오피스텔
서울특별시 마포구 성산동,590-4,KCC상암스튜디오380,월세,20.35,"1,000",82,모래내로1길 20,오피스텔
서울특별시 은평구 진관동,66,은평뉴타운 꿈에그린,월세,19.84,"1,000",63,진관3로 33,오피스텔
서울특별시 도봉구 도봉동,63,힐스테이트 도봉역 웰가,전세,84.84,"40,000",0,도봉로180나길 19,오피스텔
서울특별시 동대문구 답십리동,494-1,한일노벨리아,월세,19.05,"1,000",65,천호대로 289,오피스텔
서울특별시 동대문구 신설동,91-262,브릿지하임,전세,14.91,"21,000",0,왕산로 29,오피스텔
서울특별시 강서구 염창동,261,염창역한강투웨니퍼스트,월세,29.98,"26,550",6,공항대로81길 36,오피스텔
서울특별시 강서구 염창동,266-12,한빛어반뉴스토리,월세,28.69,"21,300",25,공항대로59다길 131,오피스텔
서울특별시 성북구 하월곡동,90-279,종암사거리 동우리즈힐스,전세,15.91,"14,490",0,화랑로1길 17,오피스텔
서울특별시 동대문구 용두동,104-3,동대문 푸르지오시티,월세,23.47,"1,000",84,왕산로 86,오피스텔
서울특별시 양천구 목동,791-17,동양오피스텔,전세,18.02,"8,900",0,목동중앙서로3길 9,오피스텔
서울특별시 양천구 목동,916,현대하이페리온,월세,114.64,"100,000",187,목동동로 257,오피스텔
서울특별시 중랑구 면목동,1546,행복오피스텔,월세,50.04,"20,000",29,겸재로 240,오피스텔
서울특별시 동대문구 장안동,384-8,이도SPACE,전세,28.27,"24,000",0,장한로23길 11-6,오피스텔
서울특별시 강남구 청담동,5,경원오피스텔,월세,22.77,"1,000",60,도산대로 446,오피스텔
서울특별시 마포구 성산동,51-2,골든빌오피스텔,월세,23.86,"9,000",20,월드컵북로12안길 89,오피스텔
서울특별시 중구 황학동,1229,힐스테이트 청계 센트럴,전세,34.93,"31,500",0,마장로 95,오피스텔
서울특별시 강남구 청담동,5,경원오피스텔,전세,22.77,"14,000",0,도산대로 446,오피스텔
서울특별시 마포구 성산동,591-6,상암 퍼스티지 더올림 오피스텔,월세,17.14,"15,100",6,모래내로1길 17,오피스텔
서울특별시 강서구 등촌동,656-52,강서메트로칸,월세,18.75,"2,000",48,공항대로45가길 11,오피스텔
서울특별시 강서구 등촌동,633-24,등촌동 Y HAUS 오피스텔,전세,28.61,"26,500",0,공항대로59다길 39,오피스텔
서울특별시 종로구 숭인동,313-17,우평 원더라움 스투디오,월세,24.79,"26,200",5,지봉로 22,오피스텔
서울특별시 마포구 성산동,232-1,엔트라움마포,전세,35.74,"37,500",0,동교로19길 102,오피스텔
서울특별시 서대문구 대현동,90-26,엔트라리움,월세,17.6,60,39,이화여대1길 42-10,오피스텔
서울특별시 서대문구 대현동,90-77,유씨유 이대,월세,17.31,"17,000",11,이화여대1길 33,오피스텔
서울특별시 서대문구 대현동,27-51,에스엠케이타워,전세,17.59,"20,000",0,이화여대7길 46,오피스텔
서울특별시 중구 중림동,355,브라운스톤서울,전세,113.2,"80,000",0,청파로 464,오피스텔
서울특별시 양천구 목동,917,목동파라곤,월세,82.69,"70,000",80,목동서로 155,오피스텔
서울특별시 강남구 역삼동,837-13,강남역 와이즈 플레이스,월세,23.87,"19,800",11,강남대로66길 14,오피스텔
서울특별시 동대문구 용두동,100-5,동대문 베네스트,월세,22.86,"18,000",10,왕산로 92,오피스텔
서울특별시 마포구 상수동,339-15,오벨리스크,전세,19.92,"12,800",0,토정로 104,오피스텔
서울특별시 동대문구 휘경동,322-2,회기역 더이스트팰리스,월세,16.69,"17,000",10,이문로 34,오피스텔
서울특별시 동대문구 청량리동,235-6,힐스테이트 청량리역,월세,21.2,"1,000",105,왕산로 239,오피스텔
서울특별시 용산구 원효로1가,46-3,용산파크뷰,전세,42.95,"32,000",0,원효로 251,오피스텔
서울특별시 영등포구 양평동5가,94,한강프리젠,월세,29.96,"25,000",30,양평로24길 16,오피스텔
서울특별시 영등포구 영등포동2가,175,여의도 해링턴타워 196,월세,18.1,"16,300",20,영등포로49길 2,오피스텔
서울특별시 금천구 독산동,297-23,SM캐슬,전세,37.02,"28,000",0,시흥대로123길 94,오피스텔
서울특별시 구로구 구로동,830,한영캐슬시티,월세,17.8,"1,000",60,디지털로26길 90,오피스텔
서울특별시 영등포구 영등포동1가,94-2,여의도더리브스타일,전세,26.49,"28,500",0,경인로 900,오피스텔
서울특별시 금천구 독산동,1006-97,신독산역 갤러리 휴리움,전세,29.56,"21,000",0,벚꽃로10길 77,오피스텔
서울특별시 서초구 방배동,866-10,방배 마에스트로,월세,19.86,"3,000",85,서초대로 13,오피스텔
서울특별시 서초구 서초동,1601-10,서초어반하이 오피스텔,월세,19.3,"1,000",92,서초중앙로5길 10-7,오피스텔
서울특별시 영등포구 영등포동7가,94-57,은석오피스텔,전세,33.06,"19,500",0,국회대로55길 4,오피스텔
서울특별시 구로구 구로동,44-2,몽삐에뜨로즈,월세,29.88,"24,800",7,공원로8길 30-12,오피스텔
서울특별시 구로구 구로동,110-7,신도림 명남 더블레스,전세,27.92,"22,600",0,구로중앙로28다길 12,오피스텔
서울특별시 송파구 문정동,618,파크하비오,전세,25.74,"17,820",0,송파대로 111,오피스텔
서울특별시 송파구 문정동,618,파크하비오,월세,25.12,"29,000",70,송파대로 111,오피스텔
서울특별시 송파구 문정동,622,송파한화오벨리스크,월세,29.99,"1,000",105,충민로 5,오피스텔
서울특별시 송파구 문정동,643-1,엠스테이트,월세,35.22,"10,000",100,법원로 114,오피스텔
서울특별시 관악구 신림동,1462-12,(1462-12),월세,21.84,"10,000",25,관천로 82,오피스텔
서울특별시 영등포구 영등포동4가,55,HIGHEND 63st,월세,28.12,"3,000",155,영중로 21,오피스텔
서울특별시 영등포구 영등포동2가,332-3,밀레니엄시티,전세,31.06,"22,890",0,영등포로 249,오피스텔
서울특별시 금천구 독산동,1156,금천 롯데캐슬 골드파크 4차,월세,24.21,"1,000",75,시흥대로 315,오피스텔
서울특별시 금천구 독산동,1000-5,아크로타워Ⅱ,전세,22.22,"21,800",0,벚꽃로 154-1,오피스텔
서울특별시 금천구 독산동,1004-13,명남더블레스,월세,16.22,500,60,벚꽃로 110,오피스텔
서울특별시 금천구 독산동,1006-3,미림A클래스,월세,25.34,"18,600",10,범안로12가길 7,오피스텔
서울특별시 금천구 독산동,151-3,SM 벨리체,전세,17.66,"15,000",0,시흥대로139길 19,오피스텔
서울특별시 금천구 가산동,535-7,G밸리 하우스디 어반,전세,19.37,"14,500",0,서부샛길 714,오피스텔
서울특별시 금천구 가산동,233-5,가산센트럴 푸르지오시티,월세,17.62,500,60,디지털로10길 69,오피스텔
서울특별시 서초구 잠원동,15-4,신사샤르망에스,월세,20.46,"9,000",35,나루터로 69,오피스텔
서울특별시 관악구 봉천동,1666-51,더헤르미온,월세,16.46,"20,000",15,남부순환로 1845,오피스텔
서울특별시 동작구 신대방동,719,동작상떼빌,전세,86.39,"43,000",0,신대방1가길 38,오피스텔
서울특별시 송파구 방이동,41-8,잠실 벨솔레 오피스텔,월세,29.69,"2,000",140,올림픽로34길 5-13,오피스텔
서울특별시 송파구 방이동,41-1,잠실파크웨이,월세,19.13,"3,700",65,올림픽로34길 5-23,오피스텔
서울특별시 서초구 서초동,1338-8,강남역파라디아골드,월세,18.11,"15,700",20,효령로79길 1,오피스텔
서울특별시 송파구 방이동,49-9,(49-9),월세,16.01,"1,000",85,오금로11길 61-15,오피스텔
서울특별시 동작구 노량진동,267-6,노량진큐브스테이트,전세,22.39,"22,000",0,노량진로 80,오피스텔
서울특별시 송파구 방이동,49-4,아주리센 센트럴파크,월세,28.88,"26,100",12,오금로11길 55-8,오피스텔
서울특별시 영등포구 신길동,4336,KC빌딩,월세,18.06,"2,000",45,여의대방로 77,오피스텔
서울특별시 영등포구 신길동,449-20,콘펠리체,월세,14.88,"1,000",70,영등포로 402,오피스텔
서울특별시 영등포구 신길동,449-20,콘펠리체,월세,16.82,"1,000",80,영등포로 402,오피스텔
서울특별시 송파구 방이동,49,오르본 인투파크 오피스텔,월세,29.62,"3,000",135,오금로11길 55-22,오피스텔
서울특별시 송파구 잠실동,178-6,잠실 M타워,월세,17.17,700,80,올림픽로8길 7,오피스텔
서울특별시 송파구 잠실동,178-6,잠실 M타워,월세,17.17,500,80,올림픽로8길 7,오피스텔
서울특별시 송파구 석촌동,175-12,석촌트럼프월드,전세,36.74,"29,500",0,백제고분로39길 10-20,오피스텔
서울특별시 송파구 방이동,46-1,이스턴잠실,월세,33.8,"25,000",29,오금로11길 43-16,오피스텔
서울특별시 영등포구 양평동6가,9-3,선유도 소미골드Ⅳ,월세,28.69,"25,000",5,양평로28가길 8,오피스텔
서울특별시 송파구 방이동,43-2,잠실 트리움,전세,16.0,"17,300",0,오금로11길 43,오피스텔
서울특별시 영등포구 양평동5가,51,에듀시티에비앙,월세,28.6,"2,000",125,양평로 160,오피스텔
서울특별시 송파구 방이동,35-4,I-SPACE 잠실2,월세,29.6,"1,000",85,올림픽로 354,오피스텔
서울특별시 영등포구 양평동3가,53,양평동 대우이안1,전세,94.79,"55,000",0,선유로33길 10,오피스텔
서울특별시 영등포구 양평동2가,43-11,디에이원파크,월세,29.56,"22,700",20,영등포로3길 15,오피스텔
서울특별시 영등포구 양평동2가,1-1,신동아하이팰리스,전세,72.13,"42,000",0,선유서로 67,오피스텔
서울특별시 영등포구 양평동1가,206,영일아트빌,전세,33.86,"30,000",0,영등포로13길 11,오피스텔
서울특별시 강동구 길동,458,포유 르센티 길동,월세,15.9,"1,000",95,진황도로 104,오피스텔
서울특별시 강동구 길동,413-24,(413-24),월세,18.76,"11,600",23,천호대로177길 48-11,오피스텔
서울특별시 영등포구 문래동6가,26,문래동 대우 이안,전세,56.1,"34,600",0,문래로 41,오피스텔
서울특별시 강서구 방화동,830-3,방화샤르망1오피스텔,월세,16.29,300,37,방화대로47가길 7,오피스텔
서울특별시 구로구 오류동,59-20,칸타빌레5차,월세,21.47,"12,150",10,경인로 224,오피스텔
서울특별시 구로구 오류동,46-2,아크로펠리스,월세,18.0,500,50,경인로20나길 36,오피스텔
서울특별시 구로구 천왕동,277-7,쿠앤하우스,월세,57.14,"20,000",40,천왕로 42,오피스텔
서울특별시 금천구 시흥동,994-1,금천 해담채,월세,17.75,"10,000",15,시흥대로57길 46,오피스텔
서울특별시 영등포구 당산동,121-135,한가람 The First Ⅱ,월세,20.51,"17,000",10,국회대로55길 18-1,오피스텔
서울특별시 영등포구 영등포동1가,118,소미여의도골드라인,월세,21.08,"22,950",10,경인로 888-4,오피스텔
서울특별시 영등포구 영등포동3가,1-9,소담더블린,월세,17.13,"1,000",64,영등포로 264,오피스텔
서울특별시 영등포구 영등포동1가,110-6,여의도 노블루체91,월세,20.5,"20,000",25,경인로 888,오피스텔
서울특별시 영등포구 영등포동1가,79-3,여의도 명남 더블레스,월세,15.41,"13,800",8,경인로112길 7,오피스텔
서울특별시 영등포구 영등포동1가,26-1,여의도광장,월세,16.32,"15,800",11,경인로114길 20,오피스텔
서울특별시 강서구 마곡동,797-14,힐스테이트에코마곡,월세,24.09,"15,700",15,공항대로 269-15,오피스텔
서울특별시 강서구 마곡동,784,마곡경동미르웰,월세,17.96,"1,000",72,강서로 455,오피스텔
서울특별시 강서구 마곡동,793,유림트윈파크,월세,19.99,"11,830",9,강서로 419,오피스텔
서울특별시 강서구 마곡동,793-3,마곡에비앙,월세,18.97,"3,000",55,강서로 411,오피스텔
서울특별시 강서구 마곡동,758-2,마곡일성트루엘플래닛,월세,21.43,"10,000",38,마곡중앙로 161-22,오피스텔
서울특별시 강서구 마곡동,758-1,마곡럭스나인오피스텔 엘동,월세,21.87,"3,000",70,마곡서로 168,오피스텔
서울특별시 강서구 마곡동,773-1,마곡역센트럴푸르지오시티,전세,23.0,"15,885",0,마곡중앙6로 10,오피스텔
